user,rule_id,goal,user_type,situation,context,context_nl,item,item_nl,label
student2020-10,271,EnergySaving,Generic,Night,none,none,alarms-alarms,"send 2 times an alarm by text message to 33334444111 saying, ""Attention, the lights in the hallway are on, remember to turn them off!"" and ",1
student2020-22,333,EnergySaving,Generic,Generic,none,none,corridor-temperaturelevel,"the inlet temperature is less than 18 degrees, ",0
student2019-4,139,EnergySaving,Generic,Generic,relativeposition-typeofproximity,If the user is out of the bedroom and ,bedroomlight-state,the bedroom light is turned on,1
student2021-02,367,Comfort,Generic,Generic,none,none,bedroom-lightlevel,When  Bedroom light level becomes  no light,0
student2020-26,354,Wellbeing,Generic,Generic,reminders-reminders;bathroom-alllight,send a reminder notification saying: you have been in the bathroom for 20 minutes. Turn on the white light in the bathroom and  ,living room alexa-state,"Alexa is off, ",0
student2021-12,418,"Comfort, Wellbeing",Generic,Generic,devices-tv;livingroom-hue color light living room;light-state,"turn on the TV  turn on the blue light and  the light in the living room is off, ",currentweather-outdoorcondition,When there is fog outside and ,0
student2019-2,128,Safety,Generic,Generic,alarms-alarms;kitchen-hue color light kitchen,"send the alarm ""some smoke comes from the kitchen"" via notification. turn on the red light in the kitchen and ",greatluminaire-state,if  Great Luminaire state is different from  off and,0
student2020-24,340,EnergySaving,Generic,Generic,none,none,reminders-reminders,"send the voice reminder ""Microwave door open""",1
student2020-20,324,Wellbeing,Generic,Working,reminders-reminders;livingroom-relax,"send the reminder ""Remember to take breaks and relax"" to the user start a relaxing light scene in the living room and  ",entrance-door,close the door.,0
student2019-5,143,Wellbeing,Generic,Generic,bedroom-temperaturelevel;bedroomlight-color;bedroom-alllight,If the bedroom temperature is below 13 degrees and the room lights are blue turns on neutral lights in the room and ,alerts-alerts,"turn on the light strip corridor, ",0
student2021-01,360,Generic,Generic,Generic,none,none,reminders-reminders,"the notification ""The heating system has turned on"" arrives to alert you.",1
student2019-17,208,Comfort,Generic,Generic,entrance-motion;entrancelight-state;entrance-changelightstate,"If the motion sensor at the entrance detects something and  the entrance lights are off,  turn them on for two minutes and ",physiological-heartrate,If the heart rate exceeds 100 bpm,0
student2020-6,251,EnergySaving,Generic,Night,bathroom-alllight,then turn off the lights in the bathroom and  ,physiological-steps,if the daily steps of Test-user are less than 5000,0
student2021-05,384,Wellbeing,Generic,Generic,bedroomlight-state;bedroom-hue color light bedroom,"the room light is off,  turn on the light and set it to a relaxing yellow color for 60 minutes, ",livingroom-greatluminare,turn on the great light,0
student2020-10,273,Comfort,Generic,Generic,all-alllight;alarms-alarms,"turn on all lights send 3 times the voice alarm ""Attention! The entrance light is on and the door sensor is on"" and  ",entrance-temperaturelevel,If the entrance temperature becomes less than 15 degrees and ,0
applicationExpert4,98,"Health, Wellbeing",Generic,GoodWeather,reminders-reminders;twentyfourhoursweatherforecast-outdoortemperature;twentyfourhoursweatherforecast-outdoorcondition,"do send  one  reminder ""Tomorrow the weather will be excellent: remember to go out for a walk!"" by notification and  Weather & Time outdoor temperature is  more then  20 Weather & Time outdoor condition is  clear sky  and ",kitchen-motion,the motion sensor in the kitchen does not detect movement (condition),0
student2020-6,254,"Comfort,Safety",Generic,Generic,timeinsidearoom-timeinsidekitchen;kitchenlight-state,"When the user's time in the kitchen becomes greater than 1 minute and  the light in the kitchen is off,  ",entrance-doorsensor,"the front door is open, ",0
student2019-10,174,"Wellbeing, Health",Student,Morning,alarms-alarms,"send a notification in which it is suggested to check the email,  ",reminders-reminders,sends an email in which it is suggested to regularize your sleep.,1
student2021-08,399,WellBeing,Generic,ColdSeason,home-heating,turn off the heating system and  ,reminders-reminders,send a voice notification saying: 'I have turned off the heating!'.,1
domainExpert7,49,"Health, Wellbeing",Caregiver,Generic,none,none,livingroom-biorhythmlight,start the light biorhythm and ,0
student2019-12,184,Organizing,Generic,Generic,bathroom-hue color light bathroom;bathroomlight-state," change the bathroom light to red and   the bathroom light is on, ",all-activate,start the activating light scene,0
student2021-12,419,EnergySaving,Generic,"GoingOut,Working",heating system-state;home-heating,"if the heating system in the house is on,  turn off the heating and  ",reminders-reminders,send a notification (2 times) to remind me to turn it on when I return,1
student2020-22,332,Wellbeing,Generic,Generic,none,none,reminders-reminders,"send the user a reminder via notification (""Close bedroom window"")",1
student2020-6,253,Organizing,Student,Generic,none,none,coffee machine-state,"the coffee machine is on, ",0
student2021-04,377,"Wellbeing,Comfort",Generic,BadWeather,none,none,coffee machine-state,"if the coffee machine is on,",0
student2020-6,251,EnergySaving,Generic,Night,reminders-reminders,send a reminder (audio) ,bathroom-humidity,When the humidity in the bathroom becomes greater than 70% and ,0
student2019-2,126,Safety,Generic,Generic,reminders-reminders;livingroom-windowsensor,"send three sms ""Close doors and / or windows"". the living room window sensor indicates that is open ",entrance-doorsensor,When the entrance door sensor indicates that it is open or,1
student2020-19,319,"Comfort,EnergySaving",Generic,Generic,reminders-reminders;bathroom-alllight, send me a reminder to remind me to turn off the light when I leave the room turn on the bathroom lights and then ,bathroomlight-state," if the bathroom light is off, ",1
student2020-21,326,"Wellbeing,Health",Caregiver,Generic,none,none,entrance-windowsensor, if the sensor of the window is active and,0
student2019-5,142,Health,Generic,Generic,none,none,alarms-alarms," send two alarm ""Cardioaspirina"" notifications",1
student2020-13,289,Safety,Generic,Generic,bedroomlight-temperature,"the room light is reaching a temperature above 20 degrees,  ",timeinsidearoom-timeinsidebedroom,If the user has been in the bedroom for 30 minutes and ,1
student2020-19,316,Security,Generic,Night,none,none,entrance-alllight,turn on all the lights at the entrance,1
student2020-20,323,Organizing,Caregiver,Generic,personaldata-age,"the user suffers from memory loss associated with age, ",cognitive-cognitivestate,If the user's age is over 70 or ,1
applicationExpert4,91,EnergySaving,Generic,GoingOut,all-alllight,do  turn off all lights in the house ,kitchenlight-state,"When I turn off the kitchen light, ",0
student2020-13,289,Safety,Generic,Generic,bedroom-alllight,turn off all the lights in the bedroom and  ,livingroom-temperaturelevel,"If the living room temperatures are no higher than 12 degrees between 1pm and 6pm,",0
student2021-08,397,Security,Generic,Night,alarms-notificationmode,sound the alarm and  ,livingroom-hue color light living room, turn on the blue light and ,0
domainExpert4,3,Health,Caregiver,Generic,none,none,physiological-steps,if the Test-user daily steps are less than 5000,1
student2020-9,268,EnergySaving,Generic,Morning,kitchen-alllight;alarms-alarms;kitchenlight-state," turn off all lights in the kitchen do send  two  alarms ""lights on""  by voice,   Kitchen Light state is    on  ,   ",livingroom-biorhythmlight,do start biorhythm light scene in the living room,0
student2020-8,264,Safety,Caregiver,Generic,alarms-alarms;reminders-reminders;bathroomlight-state,"and the text message ""Someone is sick in the bathroom"" as a reminder to check the bathroom send the voice alarm ""bathroom light is on for too long"" and the bathroom light is on,  ",timeinsidearoom-timeinsidebathroom,when a person is in the bathroom for more than ten minutes and ,1
student2020-20,323,Organizing,Caregiver,Generic,alarms-alarms," send the SMS alarm to the user ""Remember to check if the bathroom window is closed"" and ",medication-intaketime,if  Test-user intake time is different from  15:00,0
student2021-06,386,Wellbeing,Generic,BadWeather,none,none,home-robotvacuumcleaner, turn off the vacuum cleaner and ,0
student2019-17,208,Comfort,Generic,Generic,entrance-changelightstate,turn them on for two minutes and ,bedroom-temperature,When the bedroom temperature drops below 21C and ,0
student2020-12,281,EnergySaving,Generic,Generic,kitchen-alllight,turn on all kitchen lights. ,alarms-alarms,sound the alarm beep in the kitchen and ,1
domainExpert4,12,Health,Caregiver,Generic,none,none,activity-wakingup,"If the user has not woken up at a time between 6 and 10 in the morning, ",0
student2021-12,419,EnergySaving,Generic,"GoingOut,Working",none,none,entrance-door,close the door.,0
student2020-25,349,Comfort,Generic,Generic,none,none,bathroom-alllight,turn it on and ,1
applicationExpert4,88,Wellbeing,Caregiver,Generic,none,none,currentweather-weathericon,If the weather weather icon is sun,0
student2020-24,343,Wellbeing,Generic,Night,datetime-localtime,If it's midnight and ,bedroomlight-state," the bedroom light is on, ",1
student2019-10,172,EnergySaving,Generic,Generic,reminders-reminders,"send the notification ""The refrigerator remained open"" ",livingroomlight-temperature,"the light temperature is less than 20, ",0
domainExpert8,69,"Comfort, Safety",Generic,Night,datetime-localtime,When time is    lt 06:00 minutes ,bedroom-changelightstate,turn on the bedroom light for 5 minutes.,0
applicationExpert3,82,Organizing,Generic,BadWeather,none,none,activity-medicationname,If Aspirine has not been taken    between 17:18 and 17:22,0
domainExpert9,72,Wellbeing,Caregiver,Generic,none,none,kitchen-lightlevel,if the light in the kitchen is off,0
student2021-06,387,Comfort,Generic,Generic,livingroom-changelightstate,then turn on the living room lights and ,entrance-lightlevel,when there is daylight at the entrance and ,0
student2020-16,304,EnergySaving,Generic,GoingOut,none,none,all-alllight,the system automatically turns them off and,1
student2020-24,340,EnergySaving,Generic,Generic,none,none,bathroomlight-state,"When the microwave door is open, ",1
student2019-13,189,EnergySaving,Generic,Generic,none,none,currentweather-rain,If the weather is rainy and,0
domainExpert4,26,"Wellbeing, Health",Caregiver,Generic,none,none,physiological-steps,if the daily steps of Test-user are less than 5000,1
student2021-07,390,Generic,Generic,Generic,devices-alexa services,play news on Alexa. ,currentweather-outdoorpressure,"if the external pressure exceeds 50, ",0
student2019-16,204,Organizing,Generic,Generic,none,none,timeinsidearoom-timeinsidekitchen,If the user stays in the kitchen for more than 50 minutes and ,1
student2021-14,427,Wellbeing,Generic,ColdSeason,none,none,livingroom-windowsensor,"the windows in the living room are open, ",1
student2020-4,243,Generic,Generic,BadWeather,all-alllight;alarms-alarms,"turn on all the lights in the house send the notification ""fog"" to me and ",sleep-sleepduration,When I sleep for more than 8 hours and ,0
domainExpert7,58,Wellbeing,Caregiver,Evening,datetime-localtime,time becomes  more then  22:00 minutes ,relativeposition-typeofproximity,When  Test-user   is  inside  livingroom and,1
student2020-2,231,Health,"Generic, Caregiver",Generic,none,none,activity-medicationname,"If the medicine is not taken between 7.00 and 7.45, ",1
student2019-9,166,Generic,Generic,BadWeather,none,none,currentweather-rain, it is raining outside,1
applicationExpert4,92,Comfort,Generic,Generic,none,none,relativeposition-typeofproximity,When  Test-user   is  inside  house,1
student2019-1,124,Safety,Caregiver,"ElderlyAlone, Night",reminders-reminders;corridor-light strip corridor,"a notification sms ""The bedside light is on"" will also be sent to a relative designated by a light strip of LEDs will be activated in the corridor for a period of 10 minutes in order to facilitate nocturnal movements within the house ",bedroomportablelight-state,when the bedside light is turned on,1
student2021-14,426,Health,Generic,Morning,alarms-notificationmode,a siren alarm sounds and  ,kitchen-relax,"start relaxing the light scene in the kitchen,",0
student2021-15,434,Security,Generic,Night,entrance-changelightstate;alarms-notificationmode,turn on the entrance lights. turn on the alarm and  ,entrance-doorsensor,"If the entrance door is not closed between midnight and 5 am, ",1
domainExpert4,23,Generic,Caregiver,Debug,reminders-reminders,"do send  the reminder ""Turn off the great luminarie"" by notification ",currentweather-wind,if the wind outside is more than 5 km/h and ,0
student2020-27,359,Comfort,Generic,Generic,vocalinput-vocalstring;livingroomlight-state,"When the user issues a voice command 'turn on living room lights' and  if the living room light is off,  ",light-state,"the lights in the same room are on, ",0
student2020-3,238,EnergySaving,Generic,Generic,fridge-door,"the fridge door is open,  ",kitchen-temperaturelevel,if the room temperature is higher than 4 degrees and ,1
student2020-16,301,Wellbeing,Generic,Generic,none,none,corridor-doorwindowsensor,(CONDITION 2) the windows are open,0
domainExpert7,51,Comfort,Caregiver,Generic,relativeposition-typeofproximity,When Test-user   is  inside  livingroom and ,datetime-localtime,time is  more then  09:30 minutes,1
student2021-09,401,"Comfort,Wellbeing",Generic,BadWeather,currentweather-outdoorcondition;livingroom-windowsensor,"When it is raining outside and  if the living room window is open,  ",livingroom-window,close the window.,1
student2021-09,402,Safety,Generic,Generic,corridor-light strip corridor;alarms-notificationmode,turn on the emergency light in the corridor. start the alarm and  ,home-electricity,"If the electricity in the house is not on, ",1
student2019-20,221,EnergySaving,Generic,Generic,none,none,datetime-localdate,it's December 9th,0
student2019-10,172,EnergySaving,Generic,Generic,reminders-reminders;corridor-alllight;fridge-door,"send the notification ""The refrigerator remained open"" turn on the lights in the corridor and  the refrigerator door is open ",all-biorhythmlight,the system turns on the house lights intermittently and,0
student2019-10,170,Wellbeing,Generic,Generic,none,none,kitchen-coffeemachine,turn on the bedroom light,0
student2019-12,184,Organizing,Generic,Generic,none,none,bathroom-hue color light bathroom, change the bathroom light to red and ,1
student2020-13,289,Safety,Generic,Generic,none,none,kitchen-coffeemachine,turn on the bedroom light,0
student2019-7,152,Wellbeing,Generic,Generic,livingroom-relax,the system activates the lights in a relaxing way and ,livingroomlight-state,light in the lounge is off,1
student2021-14,428,Organizing,Generic,Morning,devices-alexa services,activate Alexa with the news of the day and  ,reminders-reminders,"send me the message ""You ruin your eyes!""",0
student2019-20,221,EnergySaving,Generic,Generic,alarms-alarms;kitchen-lightlevel,"it notifies you with an alarm ""close the fridge door"" and  the kitchen light is off,  ",fridge-door,If the fridge door is open and ,1
student2019-18,213,"Comfort, Wellbeing",Generic,BadWeather,corridor-doorwindowsensor;all-biorhythmlight,(CONDITION 2) the windows are open ACTION: (1) Turn on the house lights intermittently and  ,reminders-reminders, (2) send a notification to the user to remind him to close the windows,1
student2021-04,377,"Wellbeing,Comfort",Generic,BadWeather,none,none,home-allwindow,open all the windows in the house.,0
student2021-13,423,"EnergySaving,Wellbeing",Generic,GoodWeather,entrance-lightlevel;currentweather-outdoortemperature;livingroom-changelightstate,"when there is daylight at the entrance and  outside the temperature exceeds 15 degrees,  turn off the lights and  ",home-allwindow,open the windows.,1
student2019-7,152,Wellbeing,Generic,Generic,cognitive-emotionalstate;livingroomlight-state;livingroom-relax,If the user is sad and light in the lounge is off the system activates the lights in a relaxing way and ,currentweather-wind,if the wind outside is more than 5 km/h and ,0
student2019-18,213,"Comfort, Wellbeing",Generic,BadWeather,none,none,reminders-reminders, (2) send a notification to the user to remind him to close the windows,1
student2021-13,424,"Comfort,Wellbeing",Generic,Generic,none,none,test-user-leisure," the TV is on,",1
student2019-16,201,Generic,Generic,BadWeather,none,none,currentweather-outdoorcondition,If there are thunderstorms outside and ,1
student2019-4,139,EnergySaving,Generic,Generic,reminders-reminders,send a notification as a reminder stating that the light was turned on by mistake and ,bedroom-alllight,turn it off,1
student2019-9,169,"Wellbeing, Organizing",Generic,Morning,none,none,bedroomlight-state, the room light is on,1
student2021-02,366,Health,Generic,Generic,none,none,alarms-notificationmode,turn on all the lights in the house and ,1
applicationExpert1,44,Health,Caregiver,Generic,datetime-localtime,When time becomes  17:52 minutes ,bathroom-smokesensor,If the smoke sensor is active and ,0
student2019-7,151,Safety,Generic,Generic,none,none,relativeposition-typeofproximity,If the user is not in the kitchen and ,1
student2019-6,149,Wellbeing,Generic,Morning,reminders-reminders;bedroom-relax;bedroom-lightlevel, sends a voice that says: Have a nice day. it sets the lights in relax mode (impact not too strong) and  if the bedroom lights are off ,all-alllight,turn on all the lights in the house,0
student2019-13,185,Generic,Generic,Generic,none,none,corridorlightstrip-state,"If the corridor light is on, ",1
student2020-5,249,"EnergySaving, Wellbeing",Generic,Night,reminders-reminders;bedroom-alllight;bedroomlight-state,"send me the reminder ""Even today you fell asleep with the light on "" turn them off and  with the lights on,  ",home-securityintrusion,"When the security system detects an intrusion, ",0
student2020-16,304,EnergySaving,Generic,GoingOut,relativeposition-typeofproximity;greatluminaire-state,"When the user is away from home,  but the lights are on,  ",kitchen-temperaturelevel,if the room temperature is higher than 4 degrees and ,0
student2019-20,220,EnergySaving,Generic,Generic,reminders-reminders, change the color of the light to red for two minutes and ,bedroom-hue color light bedroom, send a reminder to turn off the light.,1
student2020-7,257,Wellbeing,Generic,ColdSeason,bedroom-temperature,"If the temperature in the bedroom is less than 18,  ",timeinsidearoom-timeinsidebedroom,If the time spent in the bedroom is more than 20 minutes and,0
student2020-10,274,Wellbeing,Generic,Generic,bedroom-alllight,turn on all the lights in the bedroom ,reminders-reminders,"send 3 times the notification ""The alarm rings in 5 minutes"" to the user and ",1
student2019-19,218,Safety,Generic,Generic,corridorlightstrip-color,"the light streaks glow red,  ",all-activate,start the activating light scene,0
student2020-17,305,EnergySaving,Generic,Generic,none,none,fridge-door,"If the refrigerator door is open, ",1
student2019-16,201,Generic,Generic,BadWeather,reminders-reminders,"send the reminder ""Close the windows"" to houseowner@provider.it ",corridorlightstrip-color,"the light streaks glow red, ",0
student2020-23,339,Wellbeing,Generic,Generic,none,none,bedroomlight-state,"the lights are off,",1
applicationExpert4,93,Comfort,Generic,Generic,none,none,bedroom-motion,When  Bedroom motion becomes  active and,0
applicationExpert4,108,"Health, Wellbeing",Generic,Generic,reminders-reminders,"do send  one  reminder ""you should move more!""  by notification ",entrancelight-saturation,"the saturation is below 5, ",0
student2020-3,238,EnergySaving,Generic,Generic,alarms-alarms," warn the user with the message ""Close the fridge door!"" and ",kitchen-alllight,turn on the light.,1
student2020-17,308,Comfort,Generic,Generic,livingroom-lightlevel;livingroomlight-state,"if the living room light level is not bright and  the living room light status is off,  ",reminders-reminders,"send the reminder ""You left the lights out in the living room!"" by sms to the user, ",1
student2019-11,176,Comfort,Generic,Evening,none,none,livingroom-alllight,activate the light in the living room,1
domainExpert5,29,Health,Caregiver,Generic,none,none,medication-intaketime,if  Test-user intake time is different from  15:00,1
student2019-20,222,Comfort,Generic,BadWeather,none,none,reminders-reminders,"send the reminder ""close the window"" to close it.",1
student2020-23,339,Wellbeing,Generic,Generic,bedroomlight-state;bedroom-alllight,"the lights are off,  turn on the lights and  ",livingroomlight-color,"the light in the living room is yellow,",0
applicationExpert4,114,"Health, Wellbeing",Caregiver,Generic,reminders-reminders,"do send  one  reminder  by mail ""Training is not progressing"" to caregiver@email.com ",corridor-alllight,turn on the lights in the hallway.,0
student2021-02,366,Health,Generic,Generic,home-alllight,start an alarm siren ,reminders-reminder,remind me to drink some water,0
student2020-5,248,Safety,Generic,Generic,none,none,alarms-alarms,turn on the alarm and ,1
applicationExpert4,92,Comfort,Generic,Generic,none,none,timeinsidearoom-timeinsidebedroom,If the user has been in the bedroom for 30 minutes and ,0
student2019-17,206,Safety,Generic,Generic,kitchen-gassensor,"the gas sensor is activated,  ",timeinsidearoom-timeinsidekitchen,If the user is inside the kitchen and ,1
student2019-6,147,Security,Generic,Night,none,none,livingroom-lightlevel,"the living room light is on, ",0
student2020-20,322,Organizing,Generic,BadWeather,currentweather-rain,"the temperature outside is less than 16 degrees, ",livingroomlight-color,"the light in the living room is yellow,",0
student2019-17,208,Comfort,Generic,Generic,reminders-reminders, send a notification to Simone saying 'Welcome back!' ,entrance-changelightstate,turn them on for two minutes and,1
domainExpert5,29,Health,Caregiver,Generic,alarms-alarms,"do send  one  alarm ""Take the 3 o'clock pill"" by notification ",microwave-state,If the microwave oven turns on ,0
student2019-11,175,EnergySaving,Generic,Generic,none,none,test-user-heartrate,When my heart rate exceeds a certain threshold and,0
student2019-3,132,EnergySaving,Generic,Generic,none,none,reminders-reminders,"and notify him via the SMS ""Lights were on!"".",1
student2020-16,303,Comfort,Generic,Generic,none,none,datetime-localtime,between 9 am and 4 pm and ,1
student2019-9,166,Generic,Generic,BadWeather,reminders-reminders,send a text message saying: close window ,bedroomportablelight-temperature,If the bedside light is above 5299K,0
student2019-7,153,Generic,Generic,BadWeather,alarms-alarms;livingroom-windowsensor,the system sends three notifications to the user telling him that it is raining and reminding him to close them the windows of the lounge are open ,bedroomportablelight-brightness,When the brightness of the portable light of the bedroom  becomes greater than 100,0
applicationExpert4,111,"Health, Wellbeing",Generic,GoodWeather,datetime-localtime;datetime-localtime,time  is between 09:30 AND 11:00  time  is between 09:30 AND 11:00  ,livingroom-activate,start activating light scene in the living room,0
student2019-20,223,Wellbeing,Generic,Morning,none,none,tablet-state," if I have at least one device on (tablet),",0
student2019-16,204,Organizing,Generic,Generic,none,none,bedroom-lightlevel,When  Bedroom light level becomes  no light,0
applicationExpert1,39,"Comfort, Wellbeing",Generic,Generic,none,none,bathroom-alllight,turn off the lights in the bathroom and ,0
domainExpert8,69,"Comfort, Safety",Generic,Night,none,none,all-biorhythmlight,ACTION: (1) Turn on the house lights intermittently and ,0
domainExpert8,69,"Comfort, Safety",Generic,Night,datetime-localtime;datetime-localtime,When time is    gt 22:00 minutes AND When time is    lt 23:59 minutes or ,datetime-localtime,When time is    gt 02:30 minutes AND,1
domainExpert7,54,"Health, Wellbeing",Caregiver,Generic,datetime-localtime,When time becomes  22:00 minutes ,reminders-reminders,"do send  the reminder  ""Reminder: drink a glass of water"" by notification",1
student2021-09,402,Safety,Generic,Generic,home-electricity;alarms-notificationmode,"If the electricity in the house is not on,  start the alarm and  ",corridor-light strip corridor,turn on the emergency light in the corridor.,1
domainExpert9,78,"Health, Wellbeing",Caregiver,Generic,cognitive-cognitivestate,if  Test-user cognitive state is  mild cognitive impairment ,home-heating,turn off the heating system and ,0
student2020-13,285,EnergySaving,Generic,Generic,none,none,fridge-door,"If the refrigerator door is open, ",1
student2020-15,296,EnergySaving,Generic,Generic,bedroom-alllight,turn off all the lights in the bedroom and  ,bedroom-lightlevel,"If the bedroom light stays on from 22:00 to 00:00, ",1
student2021-06,388,Health,Generic,Generic,pc-state," if I have at least one device on (pc), ",home-robotvacuumcleaner, turn off the vacuum cleaner and ,0
student2020-16,302,Wellbeing,Generic,ColdSeason,bedroom-temperaturelevel,"the temperature in the bedroom drops,  ",reminders-reminders,then the system sends an SMS to the user's mobile phone notifying them that the temperature is too low.,1
domainExpert7,54,"Health, Wellbeing",Caregiver,Generic,datetime-localtime,When time becomes  22:00 minutes ,cognitive-trainingtime,"If the user does not train between 7 and 18,",0
student2021-13,423,"EnergySaving,Wellbeing",Generic,GoodWeather,none,none,home-securityintrusion,If there is an intrusion in the house and ,0
student2020-11,277,Organizing,Student,ColdSeason,reminders-reminders,"text ""sister"" ""It's snowing! No beach volleyball at 2:20 p.m."" ",datetime-localtime,"it's 2 p.m., ",1
student2020-19,318,"Wellbeing,Organizing",Generic,Evening,none,none,medication-intaketime,if  Test-user intake time is different from  15:00,0
student2020-10,271,EnergySaving,Generic,Night,none,none,alarms-alarms,"send 2 times an alarm by text message to 33334444111 saying, ""Attention, the lights in the hallway are on, remember to turn them off!"" and ",1
student2020-5,249,"EnergySaving, Wellbeing",Generic,Night,none,none,devices-smartphonetv,turn on your mobile and ,0
applicationExpert1,38,Health,Caregiver,Generic,none,none,activity-medicationname,If Aspirine has not been taken    between 17:18 and 17:22,1
student2020-21,329,"Wellbeing,Health",Generic,Generic,reminders-reminders," send two reminder SMS ""Hearth rate more than 90 BPM"" to notify the user and  ",currentweather-rainquantity," the amount of rain is more than 10,",0
student2020-9,265,EnergySaving,Generic,Debug,reminders-reminders,"do send the reminder ""Remember not to leave the door open"" by sms to me. ",entrancelight-state," the entrance light is on,",0
student2020-17,305,EnergySaving,Generic,Generic,none,none,bathroom-doorsensor,"when the sensor is open, ",0
student2020-17,308,Comfort,Generic,Generic,none,none,timeinsidearoom-timeinsidekitchen,If the user is inside the kitchen and ,0
domainExpert7,58,Wellbeing,Caregiver,Evening,none,none,relativeposition-typeofproximity,When  Test-user   is  inside  livingroom and,1
student2019-6,148,Safety,Generic,Generic,none,none,alarms-alarms,it sends three alarms per notification with the words: Gas leak and,1
student2020-8,261,EnergySaving,Generic,Generic,alarms-alarms,"send the alarm ""Microwave door open!"" via sms to close it ",microwave-door,if the microwave door is not closed (is open) between 08:30 and 12:00 ,1
domainExpert4,6,Generic,Caregiver,Generic,none,none,reminders-reminders,"do send  one  reminder  ""You haven't played with Kwido in a long time  try playing a game!"" by notification",1
student2020-22,334,"Comfort,Organizing",Generic,Generic,entrancelight-state," if the entrance light is off,  ",timeinsidearoom-timeinsidekitchen,If the user stays in the kitchen for more than 50 minutes and ,0
student2021-10,407,"Comfort, Wellbeing",Generic,Generic,devices-tv,turn on the TV and  ,corridor-smokesensor,If smoke is detected in the hallway and ,0
student2019-12,182,Health,Caregiver,Generic,none,none,bedroom-hue color light bedroom,turn on a turquoise light in the bedroom for 5 minutes,1
student2020-5,248,Safety,Generic,Generic,kitchen-smokesensor;kitchen-windowsensor,"If there is smoke in the kitchen and  the kitchen windows are closed,  ",alarms-alarms,turn on the alarm and ,1
student2019-16,203,Safety,Generic,Generic,none,none,bathroom-smokesensor,If the smoke sensor is active and ,1
